REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
11/5/2015 22:54,THEFT F/AUTO,OTHERS,2600 - 2699 BLOCK OF SHERMAN AVENUE NW,3,1,1B,003500 1,3500,397782,139614
11/5/2015 22:30,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF NEW YORK AVENUE NW,1,2,2C,010100 1,10100,397497,136959
11/5/2015 23:21,THEFT/OTHER,OTHERS,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,3,1,1C,003800 3,3800,396455,139555
10/13/2015 5:00,SEX ABUSE,OTHERS,500  - 599 BLOCK OF DECATUR STREET NW,4,4,4C,002201 2,2201,398241,142283
10/13/2015 9:00,THEFT/OTHER,OTHERS,700 - 899 BLOCK OF MT VERNON PLACE NW,3,2,2C,005800 1,5800,398006,137232
10/13/2015 15:44,THEFT/OTHER,OTHERS,2200 - 2299 BLOCK OF I STREET NW,2,2,2A,010800 1,10800,395708,136984
10/12/2015 18:30,BURGLARY,OTHERS,3711 - 3999 BLOCK OF ELY PLACE SE,6,7,7F,009901 2,9901,404502,135005
10/13/2015 14:00,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF 10TH STREET NW,3,2,2F,004902 2,4902,397746,137620
10/26/2015 11:47,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 12TH STREET NW,1,2,2C,005800 1,5800,397563,136664
10/26/2015 12:25,THEFT F/AUTO,OTHERS,700 799  BLOCK OF 13TH STREET SE,1,6,6B,007100 2,7100,401014.27,134725.86
10/25/2015 21:00,THEFT F/AUTO,OTHERS,7500  - 7699 BLOCK OF 9TH STREET NW,4,4,4B,010300 2,10300,397798,146017
10/26/2015 14:35,THEFT/OTHER,OTHERS,900 - 1199 BLOCK OF 4TH STREET SW,1,6,6D,010200 2,10200,398469,134448
10/23/2015 13:19,THEFT/OTHER,OTHERS,1601 1699  BLOCK OF ARGONNE PLACE NW,3,1,1C,003900 1,3900,396670,139844
10/26/2015 14:40,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF L STREET NW,2,2,2B,010700 1,10700,396307,137321
10/26/2015 15:05,MOTOR VEHICLE THEFT,OTHERS,150 - 199 BLOCK OF FLORIDA AVENUE NE,5,6,6C,010600 2,10600,399689,137844
10/26/2015 12:30,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,3,3E,001001 1,1001,392607,143559
10/25/2015 4:00,ROBBERY,KNIFE,PARK ROAD NW AND 11TH STREET NW,3,1,1A,003000 1,3000,397549.68,140438.05
10/22/2015 14:30,MOTOR VEHICLE THEFT,OTHERS,1810 1899  BLOCK OF 3RD STREET NW,3,1,1B,003400 2,3400,398638,138583
10/26/2015 17:04,THEFT/OTHER,OTHERS,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,6,7,7B,007603 2,7603,402965,132500
10/26/2015 13:00,BURGLARY,OTHERS,1200 - 1299 BLOCK OF EVARTS STREET NE,5,5,5B,009302 1,9302,400937,139620
